,year_month,accumulate_riotiete,accumulate_irmaos,Tiete_total
77,200611,105.9,108.61,214.51
78,200612,330.71,206.6,537.31
79,200701,465.86,343.47,809.33
80,200702,100.48,134.79,235.26999999999998
81,200703,83.44,103.38,186.82
82,200704,17.75,54.61,72.36
83,200705,74.84,64.85,139.69
84,200706,1.11,13.83,14.94
85,200707,49.07,106.51,155.58
86,200708,1.21,0.64,1.85
87,200709,10.61,13.97,24.58
88,200710,36.52,60.28,96.80000000000001
89,200711,98.94,137.74,236.68
90,200712,80.85,151.22,232.07
91,200801,206.39,230.76,437.15
92,200802,122.87,134.28,257.15
93,200803,185.46,132.4,317.86
94,200804,200.07,86.52,286.59
95,200805,34.59,41.05,75.64
96,200806,7.21,27.25,34.46
97,200807,0.0,0.42,0.42
98,200808,26.77,44.21,70.98
99,200809,17.32,27.69,45.010000000000005
100,200810,82.59,88.8,171.39
101,200811,78.88,75.9,154.78
102,200812,52.65,128.4,181.05
103,200901,417.51,280.9,698.41
104,200902,212.51,207.88,420.39
105,200903,195.36,168.01,363.37
106,200904,27.86,61.39,89.25
107,200905,38.82,43.72,82.53999999999999
108,200906,47.09,58.06,105.15
109,200907,64.75,95.02,159.76999999999998
110,200908,114.7,92.45,207.15
111,200909,189.19,149.85,339.03999999999996
112,200910,150.18,114.01,264.19
113,200911,166.13,170.98,337.11
114,200912,197.72,256.87,454.59000000000003
115,201001,285.78,236.14,521.92
116,201002,153.33,99.74,253.07
117,201003,135.57,123.96,259.53
118,201004,46.16,69.66,115.82
119,201005,10.7,21.86,32.56
120,201006,8.45,14.8,23.25
121,201007,17.08,36.98,54.059999999999995
122,201008,11.3,3.19,14.49
123,201009,133.97,81.08,215.05
124,201010,81.11,79.91,161.01999999999998
125,201011,96.83,62.26,159.09
126,201012,145.41,179.57,324.98
127,201101,346.13,322.83,668.96
128,201102,106.17,163.92,270.09
129,201103,296.87,178.44,475.31
130,201104,129.98,86.69,216.67
131,201105,4.63,12.6,17.23
132,201106,63.48,38.47,101.94999999999999
133,201107,5.61,3.84,9.45
134,201108,13.27,16.02,29.29
135,201109,47.17,11.88,59.050000000000004
136,201110,120.33,143.13,263.46
137,201111,111.08,103.39,214.47
138,201112,160.37,115.79,276.16
139,201201,183.93,246.82,430.75
140,201202,57.9,104.15,162.05
141,201203,59.41,58.55,117.96
142,201204,63.01,79.34,142.35
143,201205,71.15,65.72,136.87
144,201206,127.72,157.13,284.85
145,201207,4.68,28.67,33.35
146,201208,0.0,0.53,0.53
147,201209,142.93,65.12,208.05
148,201210,37.95,76.37,114.32000000000001
149,201211,130.56,104.6,235.16
150,201212,243.22,228.14,471.36
151,201301,149.94,226.83,376.77
152,201302,218.4,187.97,406.37
153,201303,155.52,183.63,339.15
154,201304,107.43,88.75,196.18
155,201305,31.99,82.63,114.61999999999999
156,201306,88.96,78.2,167.16
157,201307,17.79,40.95,58.74
158,201308,0.61,3.77,4.38
159,201309,62.21,53.24,115.45
160,201310,106.46,115.18,221.64
161,201311,103.78,113.63,217.41
162,201312,185.86,103.75,289.61
163,201401,142.65,110.16,252.81
164,201402,62.34,81.51,143.85000000000002
165,201403,325.0,132.98,457.98
166,201404,26.29,64.1,90.38999999999999
167,201405,42.36,40.25,82.61
168,201406,4.59,6.41,11.0
169,201407,70.92,34.26,105.18
170,201408,1.04,13.62,14.66
171,201409,92.68,83.2,175.88
172,201410,77.2,28.22,105.42
173,201411,201.47,165.2,366.66999999999996
174,201412,133.16,191.88,325.03999999999996
175,201501,89.7,141.44,231.14
176,201502,219.18,196.47,415.65
177,201503,164.33,191.32,355.65
178,201504,67.32,45.88,113.19999999999999
179,201505,98.61,73.22,171.82999999999998
180,201506,30.97,21.71,52.68
181,201507,55.54,67.07,122.60999999999999
182,201508,11.66,19.04,30.7
183,201509,121.12,147.77,268.89
184,201510,98.56,74.46,173.01999999999998
185,201511,314.72,245.65,560.37
186,201512,256.19,200.1,456.28999999999996
187,201601,242.64,276.84,519.48
188,201602,148.64,199.21,347.85
189,201603,97.34,153.66,251.0
190,201604,76.43,28.21,104.64000000000001
191,201605,116.74,92.47,209.20999999999998
192,201606,95.73,135.13,230.86
193,201607,6.73,5.25,11.98
194,201608,46.32,42.6,88.92
195,201609,104.81,35.16,139.97
196,201610,78.62,117.25,195.87
197,201611,109.62,114.54,224.16000000000003
198,201612,174.54,174.43,348.97
199,201701,268.64,277.94,546.5799999999999
200,201702,91.47,109.29,200.76
201,201703,120.44,115.64,236.07999999999998
202,201704,65.01,114.61,179.62
203,201705,58.99,136.17,195.16
204,201706,19.28,45.5,64.78
205,201707,0.0,1.15,1.15
206,201708,82.09,47.72,129.81
207,201709,0.48,0.65,1.13
208,201710,133.53,111.95,245.48000000000002
209,201711,174.61,181.41,356.02
210,201712,251.19,152.26,403.45
211,201801,203.99,215.11,419.1
212,201802,83.22,80.55,163.76999999999998
213,201803,47.45,125.06,172.51
214,201804,31.55,31.21,62.760000000000005
215,201805,7.38,16.36,23.74
216,201806,1.89,10.78,12.67
217,201807,0.14,0.89,1.03
218,201808,30.2,67.33,97.53
219,201809,117.67,66.82,184.49
220,201810,115.96,177.95,293.90999999999997
221,201811,190.47,152.01,342.48
222,201812,99.53,118.85,218.38
223,201901,143.07,139.52,282.59000000000003
224,201902,204.89,174.6,379.49
225,201903,110.61,129.28,239.89
226,201904,94.6,105.47,200.07
227,201905,48.19,33.77,81.96000000000001
228,201906,10.23,21.64,31.87
229,201907,38.88,52.58,91.46000000000001
230,201908,32.64,16.09,48.730000000000004
231,201909,48.21,50.47,98.68
232,201910,61.19,53.09,114.28
233,201911,68.69,121.51,190.2
234,201912,293.56,172.33,465.89
235,202001,174.11,161.14,335.25
236,202002,236.51,263.02,499.53
237,202003,59.81,72.16,131.97
238,202004,40.65,17.81,58.459999999999994
239,202005,20.89,20.49,41.379999999999995
240,202006,18.72,57.85,76.57
241,202007,0.74,3.94,4.68
242,202008,2.93,32.98,35.91
243,202009,3.57,9.18,12.75
244,202010,88.71,55.05,143.76
245,202011,57.31,82.9,140.21
246,202012,103.91,172.01,275.91999999999996
