,year_month,accumulate_riotocantins,accumulate_serra,Tocantins_total
110,200908,20.19,48.84,69.03
111,200909,15.93,78.79,94.72
112,200910,43.56,255.01,298.57
113,200911,22.84,177.46,200.3
114,200912,297.29,284.47,581.76
115,201001,348.81,202.02,550.83
116,201002,247.1,96.68,343.78
117,201003,217.47,185.07,402.53999999999996
118,201004,298.31,100.17,398.48
119,201005,174.05,8.09,182.14000000000001
120,201006,54.16,4.0,58.16
121,201007,53.02,3.27,56.290000000000006
122,201008,45.31,0.1,45.410000000000004
123,201009,22.87,11.28,34.15
124,201010,88.91,137.51,226.42
125,201011,97.54,268.96,366.5
126,201012,137.35,277.38,414.73
127,201101,257.05,162.67,419.72
128,201102,232.82,117.69,350.51
129,201103,326.41,189.89,516.3
130,201104,351.88,51.73,403.61
131,201105,230.3,19.5,249.8
132,201106,82.63,16.95,99.58
133,201107,63.14,0.15,63.29
134,201108,56.85,0.18,57.03
135,201109,37.28,3.33,40.61
136,201110,91.66,185.57,277.23
137,201111,133.13,237.03,370.15999999999997
138,201112,63.5,253.8,317.3
139,201201,297.16,298.4,595.56
140,201202,360.33,134.46,494.78999999999996
141,201203,416.37,143.05,559.4200000000001
142,201204,275.54,53.29,328.83000000000004
143,201205,144.32,14.89,159.20999999999998
144,201206,105.46,16.97,122.42999999999999
145,201207,86.95,16.86,103.81
146,201208,23.15,0.66,23.81
147,201209,10.66,17.75,28.41
148,201210,65.25,64.98,130.23000000000002
149,201211,33.61,281.43,315.04
150,201212,329.94,157.17,487.11
151,201301,313.58,348.64,662.22
152,201302,285.69,130.86,416.55
153,201303,351.88,190.94,542.8199999999999
154,201304,359.55,65.36,424.91
155,201305,281.18,28.56,309.74
156,201306,135.65,21.23,156.88
157,201307,117.1,0.65,117.75
158,201308,40.56,3.07,43.63
159,201309,49.16,25.8,74.96
160,201310,49.59,127.6,177.19
161,201311,162.61,183.27,345.88
162,201312,94.33,273.71,368.03999999999996
163,201401,248.05,130.89,378.94
164,201402,339.62,180.25,519.87
165,201403,315.9,184.26,500.15999999999997
166,201404,389.16,127.48,516.64
167,201405,284.89,11.01,295.9
168,201406,121.84,2.29,124.13000000000001
169,201407,61.05,1.93,62.98
170,201408,53.67,0.51,54.18
171,201409,27.23,37.16,64.39
172,201410,39.87,68.42,108.28999999999999
173,201411,65.22,185.48,250.7
174,201412,142.32,190.22,332.53999999999996
175,201501,340.41,64.34,404.75
176,201502,197.72,182.21,379.93
177,201503,162.09,211.28,373.37
178,201504,240.92,132.88,373.79999999999995
179,201505,167.47,46.73,214.2
180,201506,110.69,1.61,112.3
181,201507,104.19,4.34,108.53
182,201508,34.16,7.74,41.9
183,201509,26.79,21.6,48.39
184,201510,11.87,73.3,85.17
185,201511,18.23,163.37,181.6
186,201512,62.87,138.44,201.31
187,201601,251.87,425.18,677.05
188,201602,258.4,96.93,355.33
189,201603,419.27,169.37,588.64
190,201604,283.27,17.07,300.34
191,201605,252.66,5.21,257.87
192,201606,99.15,3.41,102.56
193,201607,59.96,18.55,78.51
194,201608,19.99,13.61,33.599999999999994
195,201609,30.61,52.48,83.09
196,201610,42.31,104.2,146.51
197,201611,91.56,185.91,277.47
198,201612,425.09,93.77,518.86
199,201701,454.49,120.48,574.97
200,201702,503.11,149.67,652.78
201,201703,383.92,129.28,513.2
202,201704,243.13,83.79,326.92
203,201705,209.58,34.6,244.18
204,201706,109.61,1.43,111.04
205,201707,47.23,7.22,54.449999999999996
206,201708,44.64,11.49,56.13
207,201709,40.51,2.92,43.43
208,201710,37.13,34.06,71.19
209,201711,20.34,222.61,242.95000000000002
210,201712,276.01,225.88,501.89
211,201801,249.59,127.1,376.69
212,201802,455.64,153.63,609.27
213,201803,340.79,188.43,529.22
214,201804,414.61,78.03,492.64
215,201805,349.06,26.24,375.3
216,201806,112.48,0.01,112.49000000000001
217,201807,131.19,0.0,131.19
218,201808,86.02,15.12,101.14
219,201809,47.04,17.93,64.97
220,201810,34.46,164.83,199.29000000000002
221,201811,144.77,230.32,375.09000000000003
222,201812,339.46,221.92,561.38
223,201901,408.96,106.7,515.66
224,201902,395.38,162.38,557.76
225,201903,401.33,257.04,658.37
226,201904,515.35,165.58,680.9300000000001
227,201905,369.79,32.54,402.33000000000004
228,201906,102.73,0.23,102.96000000000001
229,201907,79.19,0.49,79.67999999999999
230,201908,50.82,0.68,51.5
231,201909,37.22,7.32,44.54
232,201910,46.77,91.0,137.77
233,201911,76.65,151.85,228.5
234,201912,227.01,150.58,377.59000000000003
235,202001,345.23,330.5,675.73
236,202002,394.55,305.4,699.95
237,202003,421.43,320.96,742.39
238,202004,342.59,148.73,491.31999999999994
239,202005,281.82,22.52,304.34
240,202006,128.75,0.38,129.13
241,202007,45.08,0.01,45.089999999999996
242,202008,41.8,0.02,41.82
243,202009,44.42,23.68,68.1
244,202010,63.64,129.05,192.69
245,202011,290.57,189.25,479.82
246,202012,153.62,172.71,326.33000000000004
