Date,MarginalCost
7/9/11,22.66
7/16/11,20.72
7/23/11,19.33
7/30/11,22.39
8/6/11,15.5
8/13/11,17.05
8/20/11,23.06
8/27/11,15.76
9/3/11,16.55
9/10/11,20.38
9/17/11,23.15
9/24/11,23.91
10/1/11,40.46
10/8/11,40.82
10/15/11,36.1
10/22/11,21.98
10/29/11,36.83
11/5/11,42.54
11/12/11,38.58
11/19/11,43.83
11/26/11,60.08
12/3/11,48.96
12/10/11,34.32
12/17/11,43.33
12/24/11,38.53
12/31/11,50.42
1/7/12,31.47
1/14/12,8.2
1/21/12,9.5
1/28/12,12.91
2/4/12,38.81
2/11/12,58.02
2/18/12,64.98
2/25/12,72.01
3/3/12,101.77
3/10/12,140.75
3/17/12,147.23
3/24/12,138.89
3/31/12,191.57
4/7/12,197.54
4/14/12,207.66
4/21/12,196.48
4/28/12,191.6
5/5/12,180.29
5/12/12,172.55
5/19/12,191.86
5/26/12,178.29
6/2/12,146.82
6/9/12,148.47
6/16/12,102.62
6/23/12,77.38
6/30/12,56.58
7/7/12,95.52
7/14/12,107.04
7/21/12,104.41
7/28/12,89.22
8/4/12,107.61
8/11/12,117.48
8/18/12,129.94
8/25/12,138.81
9/1/12,175.66
9/8/12,182.23
9/15/12,190.65
9/22/12,188.5
9/29/12,178.99
10/6/12,242.37
10/13/12,322.02
10/20/12,289.93
10/27/12,362.35
11/3/12,431.73
11/10/12,453.85
11/17/12,317.93
11/24/12,312.87
12/1/12,200.26
12/8/12,265.89
12/15/12,181.9
12/22/12,341.61
12/29/12,341.01
1/5/13,554.95
1/12/13,336.29
1/19/13,477.81
1/26/13,304.56
2/2/13,172.95
2/9/13,155.02
2/16/13,214.41
2/23/13,309.16
3/2/13,368.56
3/9/13,336.12
3/16/13,336.01
3/23/13,314.85
3/30/13,296.48
4/6/13,187.28
4/13/13,149.67
4/20/13,126.89
4/27/13,273.94
5/4/13,337.12
5/11/13,352.14
5/18/13,351.45
5/25/13,352.07
6/1/13,320.94
6/8/13,175.52
6/15/13,187.86
6/22/13,160.84
6/29/13,94.83
7/6/13,103.04
7/13/13,118.14
7/20/13,123.12
7/27/13,148.05
8/3/13,159.1
8/10/13,141.48
8/17/13,166.32
8/24/13,152.48
8/31/13,258.02
9/7/13,266.54
9/14/13,272
9/21/13,258.61
9/28/13,260.7
10/5/13,240.07
10/12/13,243.29
10/19/13,243.3
10/26/13,307.03
11/2/13,315.33
11/9/13,314.74
11/16/13,333.1
11/23/13,356.96
11/30/13,303.41
12/7/13,271.14
12/14/13,303.94
12/21/13,290.77
12/28/13,247.01
1/4/14,280.81
1/11/14,386.82
1/18/14,407.54
1/25/14,481
2/1/14,1065.74
2/8/14,1691.39
2/15/14,1777.54
2/22/14,1685.28
3/1/14,1364.25
3/8/14,1098.92
3/15/14,1331.52
3/22/14,1338.85
3/29/14,937.64
4/5/14,1303.77
4/12/14,1172.31
4/19/14,996.67
4/26/14,915.54
5/3/14,793.05
5/10/14,904.57
5/17/14,1050.26
5/24/14,832.22
5/31/14,578.98
6/7/14,351.35
6/14/14,367.51
6/21/14,411.26
6/28/14,340.85
7/5/14,546.69
7/12/14,670.52
7/19/14,710.16
7/26/14,584.08
8/2/14,824.51
8/9/14,669.74
8/16/14,703.07
8/23/14,700.62
8/30/14,720
9/6/14,693.97
9/13/14,759.97
9/20/14,731.59
9/27/14,664.12
10/4/14,693.49
10/11/14,802.38
10/18/14,852.7
10/25/14,890.12
11/1/14,1009.82
11/8/14,1092.07
11/15/14,1125.91
11/22/14,1048.14
11/29/14,549.83
12/6/14,659.76
12/13/14,645.29
12/20/14,656.71
12/27/14,529.36
1/3/15,494.4
1/10/15,917.57
1/17/15,1402.96
1/24/15,1445.61
1/31/15,1916.92
2/7/15,2158.57
2/14/15,1314.92
2/21/15,1606.42
2/28/15,1331.34
3/7/15,1256.26
3/14/15,1130.44
3/21/15,1204.34
3/28/15,863.46
4/4/15,916.06
4/11/15,949.64
4/18/15,994.27
4/25/15,981.29
5/2/15,438.97
5/9/15,412.51
5/16/15,442.06
5/23/15,472.23
5/30/15,367.91
6/6/15,379.34
6/13/15,349.18
6/20/15,361.45
6/27/15,374.24
7/4/15,315.48
7/11/15,230.62
7/18/15,176.96
7/25/15,171.13
8/1/15,111.57
8/8/15,120.99
8/15/15,126.93
8/22/15,129.37
8/29/15,260.37
9/5/15,227.15
9/12/15,182.68
9/19/15,203.36
9/26/15,191.07
10/3/15,202.38
10/10/15,189.49
10/17/15,190.86
10/24/15,204.17
10/31/15,234.6
11/7/15,190.84
11/14/15,175.48
11/21/15,177.83
11/28/15,124.48
12/5/15,111.01
12/12/15,92.18
12/19/15,116.49
12/26/15,27.8
1/2/16,20.64
1/9/16,12.6
1/16/16,9.66
1/23/16,6.07
1/30/16,2.62
2/6/16,0.08
2/13/16,1.19
2/20/16,1.79
2/27/16,21.69
3/5/16,37.16
3/12/16,19.64
3/19/16,15.02
3/26/16,29.15
4/2/16,32.83
4/9/16,37.5
4/16/16,39.62
4/23/16,40.08
4/30/16,64.74
5/7/16,57.33
5/14/16,54.01
5/21/16,51.82
5/28/16,40.07
6/4/16,38.24
6/11/16,36.58
6/18/16,36.15
6/25/16,47.98
7/2/16,54.12
7/9/16,57.57
7/16/16,52.33
7/23/16,50.46
7/30/16,93.29
8/6/16,92.53
8/13/16,89.79
8/20/16,70.4
8/27/16,128.02
9/3/16,126.65
9/10/16,128.35
9/17/16,128.25
9/24/16,140.68
10/1/16,198.86
10/8/16,203.91
10/15/16,184.01
10/22/16,152.66
10/29/16,221.9
11/5/16,224.4
11/12/16,216.98
11/19/16,190.96
11/26/16,172.88
12/3/16,127.39
12/10/16,152.36
12/17/16,134.77
12/24/16,107.11
12/31/16,133.64
1/7/17,80.42
1/14/17,109.76
1/21/17,110.21
1/28/17,80.44
2/4/17,94.58
2/11/17,103.09
2/18/17,113.1
2/25/17,169.28
3/4/17,169.23
3/11/17,222.29
3/18/17,204.12
3/25/17,221.01
4/1/17,420.28
4/8/17,351.28
4/15/17,344.16
4/22/17,324.65
4/29/17,452.41
5/6/17,461.1
5/13/17,471.84
5/20/17,468.54
5/27/17,104.4
6/3/17,91.73
6/10/17,80.38
6/17/17,119.64
6/24/17,155.19
7/1/17,230.24
7/8/17,253.57
7/15/17,270.71
7/22/17,273.23
7/29/17,514.12
8/5/17,549.19
8/12/17,519.43
8/19/17,505.86
8/26/17,445.86
9/2/17,489.85
9/9/17,599.9
9/16/17,672.73
9/23/17,725.7
9/30/17,709.9
10/7/17,690.75
10/14/17,860.84
10/21/17,860.45
10/28/17,823.16
11/4/17,479.88
11/11/17,476.84
11/18/17,446.07
11/25/17,204.32
12/2/17,216.24
12/9/17,212.42
12/16/17,273.61
12/23/17,241.14
12/30/17,178.62
1/6/18,160.1
1/13/18,142.22
1/20/18,172.05
1/27/18,157.33
2/3/18,163.2
2/10/18,150.57
2/17/18,197.74
2/24/18,195.56
3/3/18,222.56
3/10/18,234.52
3/17/18,218.23
3/24/18,226.96
3/31/18,17.71
4/7/18,84.59
4/14/18,119.18
4/21/18,133.41
4/28/18,219.51
5/5/18,291.87
5/12/18,306.37
5/19/18,323.54
5/26/18,411.43
6/2/18,431.97
6/9/18,466.08
6/16/18,471.15
6/23/18,515.05
6/30/18,517.64
7/7/18,543.75
7/14/18,588.3
7/21/18,603.83
7/28/18,763.77
8/4/18,784.9
8/11/18,757.84
8/18/18,763.67
8/25/18,766.28
9/1/18,472.16
9/8/18,482.08
9/15/18,478.94
9/22/18,428.06
9/29/18,387.03
10/6/18,323.41
10/13/18,267.3
10/20/18,226.32
10/27/18,136.81
11/3/18,143.93
11/10/18,114.48
11/17/18,113.4
11/24/18,96.9
12/1/18,54.14
12/8/18,62.19
12/15/18,73.69
12/22/18,81.73
12/29/18,139.45
1/5/19,140.97
1/12/19,169.2
1/19/19,184.3
1/26/19,346.45
2/2/19,462.48
2/9/19,527.95
2/16/19,464.54
2/23/19,360.75
3/2/19,258.44
3/9/19,258.55
3/16/19,199.26
3/23/19,237.34
3/30/19,204.09
4/6/19,176.95
4/13/19,182.01
4/20/19,164.89
4/27/19,136.69
5/4/19,158.99
5/11/19,87
5/18/19,124.37
5/25/19,117.54
6/1/19,0
6/8/19,0
6/15/19,69.7
6/22/19,122.4
6/29/19,164.19
7/6/19,172.23
7/13/19,169.94
7/20/19,180.59
7/27/19,218.91
8/3/19,228.08
8/10/19,224.92
8/17/19,231.36
8/24/19,238.27
8/31/19,195.35
9/7/19,203.11
9/14/19,220.24
9/21/19,224.57
9/28/19,229.61
10/5/19,259.49
10/12/19,262.72
10/19/19,265.13
10/26/19,309.28
11/2/19,333.92
11/9/19,304.78
11/16/19,323.3
11/23/19,314.8
11/30/19,233.26
12/7/19,215.25
12/14/19,226.76
12/21/19,193.28
12/28/19,287.31
1/4/20,361.62
1/11/20,263.04
1/18/20,349.15
1/25/20,318.05
2/1/20,186.86
2/8/20,145.56
2/15/20,141.62
2/22/20,140.51
2/29/20,53.84
3/7/20,87.91
3/14/20,99.08
3/21/20,101.8
3/28/20,0
4/4/20,0.08
4/11/20,0.05
4/18/20,0
4/25/20,0
5/2/20,25.82
5/9/20,42.39
5/16/20,80.13
5/23/20,91.87
5/30/20,102.42
6/6/20,112.53
6/13/20,125.44
6/20/20,116.4
6/27/20,94.47
7/4/20,81.88
7/11/20,83.71
7/18/20,88.05
7/25/20,91.42
8/1/20,90.75
8/8/20,99.51
8/15/20,90.21
8/22/20,54.81
8/29/20,63.45
9/5/20,70.47
9/12/20,83.66
9/19/20,98.3
9/26/20,168.74
10/3/20,262.04
10/10/20,282.62
10/17/20,318.74
10/24/20,318.62
10/31/20,368.03
11/7/20,630.47
11/14/20,475.62
11/21/20,617.02
11/28/20,744.43
12/5/20,214.75
12/12/20,262.84
12/19/20,189.61
12/26/20,220.72
1/2/21,281.49
1/9/21,361.74
1/16/21,223.7
1/23/21,177.73
1/30/21,148.01
2/6/21,179.93
2/13/21,166.42
2/20/21,175.74
2/27/21,134.84
3/6/21,81.27
3/13/21,133.41
3/20/21,139.33
3/27/21,106.11
4/3/21,157.67
4/10/21,131.7
4/17/21,164.9
4/24/21,162.29
5/1/21,173.48
5/8/21,172.56
5/15/21,220.13
5/22/21,287.26
5/29/21,325.11
6/5/21,431.24
6/12/21,434.26
6/19/21,682.22
6/26/21,944.55
