Date,Influent Flow (m^3/s)
11/28/2015,502.38
11/29/2015,544.85
11/30/2015,602.6
12/1/2015,899.62
12/2/2015,615.37
12/3/2015,462.43
12/4/2015,387.36
12/5/2015,350.86
12/6/2015,362.81
12/7/2015,424.78
12/8/2015,511.84
12/9/2015,631.88
12/10/2015,506.69
12/11/2015,442.93
12/12/2015,386.32
12/13/2015,401.54
12/14/2015,474.13
12/15/2015,522.15
12/16/2015,447.19
12/17/2015,496.49
12/18/2015,396.47
12/19/2015,336.81
12/20/2015,386.44
12/21/2015,517.84
12/22/2015,556.93
12/23/2015,502.95
12/24/2015,512.69
12/25/2015,464.91
12/26/2015,598.1
12/27/2015,658.63
12/28/2015,824.3
12/29/2015,1028.03
12/30/2015,1546.71
12/31/2015,1197.96
1/1/2016,992.56
1/2/2016,1041.52
1/3/2016,1154.96
1/4/2016,1249
1/5/2016,774.09
1/6/2016,697.36
1/7/2016,499.66
1/8/2016,458.06
1/9/2016,454.29
1/10/2016,596.97
1/11/2016,1203.57
1/12/2016,1708.88
1/13/2016,3331.19
1/14/2016,3606.54
1/15/2016,3058.97
1/16/2016,2421.89
1/17/2016,1903.11
1/18/2016,1587.2
1/19/2016,1233.41
1/20/2016,845.25
1/21/2016,772.31
1/22/2016,626.4
1/23/2016,540.99
1/24/2016,495.5
1/25/2016,514.65
1/26/2016,460.75
1/27/2016,476.34
1/28/2016,598.19
1/29/2016,775.6
1/30/2016,929.69
1/31/2016,784.13
2/1/2016,599.34
2/2/2016,492.88
2/3/2016,434.67
2/4/2016,452.15
2/5/2016,414.91
2/6/2016,490.36
2/7/2016,527.16
2/8/2016,805.75
2/9/2016,862.86
2/10/2016,754.58
2/11/2016,544.6
2/12/2016,479
2/13/2016,344.36
2/14/2016,301
2/15/2016,346.46
2/16/2016,514.63
2/17/2016,608.73
2/18/2016,610.73
2/19/2016,642.44
2/20/2016,772.43
2/21/2016,1430.82
2/22/2016,1306.85
2/23/2016,1210.81
2/24/2016,1173
2/25/2016,986.96
2/26/2016,808.54
2/27/2016,1079.27
2/28/2016,1353.12
2/29/2016,1078.41
3/1/2016,971.74
3/2/2016,960.74
3/3/2016,1272.69
3/4/2016,1095.39
3/5/2016,1125.07
3/6/2016,1096.88
3/7/2016,1041.67
3/8/2016,657.48
3/9/2016,770
3/10/2016,773.32
3/11/2016,768.38
3/12/2016,1278.17
3/13/2016,1472.12
3/14/2016,1313.7
3/15/2016,1795.66
3/16/2016,1358
3/17/2016,1361.62
3/18/2016,862.58
3/19/2016,756.41
3/20/2016,601.37
3/21/2016,522.07
3/22/2016,497.44
3/23/2016,533.56
3/24/2016,753.15
3/25/2016,815.21
3/26/2016,716.4
3/27/2016,681.95
3/28/2016,679.41
3/29/2016,572
3/30/2016,478.11
3/31/2016,411.96
4/1/2016,399.43
4/2/2016,407
4/3/2016,382.29
4/4/2016,366.66
4/5/2016,365.83
4/6/2016,349.94
4/7/2016,351.94
4/8/2016,318.15
4/9/2016,323.18
4/10/2016,306.82
4/11/2016,299.26
4/12/2016,264.81
4/13/2016,259.52
4/14/2016,254.52
4/15/2016,225.39
4/16/2016,335.49
4/17/2016,230.25
4/18/2016,201.62
4/19/2016,201.97
4/20/2016,212.1
4/21/2016,232.74
4/22/2016,219.54
4/23/2016,214.44
4/24/2016,201.29
4/25/2016,218.88
4/26/2016,187.78
4/27/2016,210.01
4/28/2016,222.58
4/29/2016,180.61
4/30/2016,208.19
5/1/2016,201.86
5/2/2016,192.53
5/3/2016,192
5/4/2016,194.21
5/5/2016,192.44
5/6/2016,189.68
5/7/2016,207.55
5/8/2016,183.93
5/9/2016,200.55
5/10/2016,173.96
5/11/2016,165.13
5/12/2016,219.18
5/13/2016,206.29
5/14/2016,228.14
5/15/2016,246.47
5/16/2016,223.7
5/17/2016,237.94
5/18/2016,294.06
5/19/2016,396
5/20/2016,534.32
5/21/2016,511.36
5/22/2016,580.75
5/23/2016,991.57
5/24/2016,580.48
5/25/2016,651.34
5/26/2016,461.22
5/27/2016,382.06
5/28/2016,350.03
5/29/2016,364.06
5/30/2016,427.52
5/31/2016,515.53
6/1/2016,558.62
6/2/2016,790.21
6/3/2016,983.61
6/4/2016,1323.89
6/5/2016,1438
6/6/2016,1697.19
6/7/2016,2281.44
6/8/2016,2269.56
6/9/2016,2158
6/10/2016,1684.87
6/11/2016,1226.05
6/12/2016,923.57
6/13/2016,777.45
6/14/2016,648.85
6/15/2016,600.66
6/16/2016,564.65
6/17/2016,533.7
6/18/2016,497.94
6/19/2016,502.46
6/20/2016,464.64
6/21/2016,408.12
6/22/2016,417.36
6/23/2016,452.88
6/24/2016,411.36
6/25/2016,412.47
6/26/2016,397.17
6/27/2016,361
6/28/2016,343.12
6/29/2016,314.24
6/30/2016,330.24
7/1/2016,327.24
7/2/2016,337.29
7/3/2016,310.4
7/4/2016,294.24
7/5/2016,283.3
7/6/2016,308.59
7/7/2016,290.06
7/8/2016,294.17
7/9/2016,290.94
7/10/2016,295.06
7/11/2016,270.99
7/12/2016,299.8
7/13/2016,280.19
7/14/2016,273.14
7/15/2016,284.56
7/16/2016,259.84
7/17/2016,289.16
7/18/2016,291.86
7/19/2016,291.98
7/20/2016,249.98
7/21/2016,261.09
7/22/2016,245.37
7/23/2016,262.32
7/24/2016,247.32
7/25/2016,258.58
7/26/2016,246.56
7/27/2016,244.06
7/28/2016,260.79
7/29/2016,227.3
7/30/2016,223.53
7/31/2016,259.02
8/1/2016,218.13
8/2/2016,223.96
8/3/2016,206.05
8/4/2016,238.66
8/5/2016,214.98
8/6/2016,218.56
8/7/2016,236
8/8/2016,225.81
8/9/2016,209.92
8/10/2016,204.62
8/11/2016,217.97
8/12/2016,205.32
8/13/2016,207.67
8/14/2016,201.78
8/15/2016,209.69
8/16/2016,179.52
8/17/2016,210.3
8/18/2016,207.52
8/19/2016,192.98
8/20/2016,317.51
8/21/2016,289.75
8/22/2016,339
8/23/2016,685.95
8/24/2016,463.06
8/25/2016,369.2
8/26/2016,302.8
8/27/2016,265.93
8/28/2016,237.01
8/29/2016,206.42
8/30/2016,254.6
8/31/2016,266.49
9/1/2016,292.97
9/2/2016,294.97
9/3/2016,284.31
9/4/2016,216.36
9/5/2016,220.5
9/6/2016,248.37
9/7/2016,255.6
9/8/2016,338.71
9/9/2016,290.24
9/10/2016,260.18
9/11/2016,273.18
9/12/2016,249.41
9/13/2016,194.7
9/14/2016,185.27
9/15/2016,201.49
9/16/2016,154.36
9/17/2016,188.13
9/18/2016,162.56
9/19/2016,160.57
9/20/2016,206.9
9/21/2016,215.62
9/22/2016,173.48
9/23/2016,158.69
9/24/2016,140.91
9/25/2016,175
9/26/2016,140.27
9/27/2016,124.69
9/28/2016,128.19
9/29/2016,145.58
9/30/2016,145.2
10/1/2016,134.07
10/2/2016,162.7
10/3/2016,190.77
10/4/2016,210.25
10/5/2016,325.42
10/6/2016,280
10/7/2016,202.14
10/8/2016,175.79
10/9/2016,170.25
10/10/2016,166.25
10/11/2016,147.85
10/12/2016,160.86
10/13/2016,195.06
10/14/2016,209.69
10/15/2016,301.4
10/16/2016,422.68
10/17/2016,399.77
10/18/2016,375.37
10/19/2016,311.35
10/20/2016,320.57
10/21/2016,248.78
10/22/2016,376.92
10/23/2016,347.82
10/24/2016,379.6
10/25/2016,409.4
10/26/2016,472.66
10/27/2016,560.04
10/28/2016,500.73
10/29/2016,494.05
10/30/2016,383.79
10/31/2016,307.07
11/1/2016,240.69
11/2/2016,233.39
11/3/2016,227.27
11/4/2016,199.11
11/5/2016,320.52
11/6/2016,255.38
11/7/2016,238.25
11/8/2016,274.86
11/9/2016,281.71
11/10/2016,276.19
11/11/2016,363.04
11/12/2016,493
11/13/2016,462
11/14/2016,509.28
11/15/2016,575.96
11/16/2016,631.11
11/17/2016,510
11/18/2016,448.69
11/19/2016,502.31
11/20/2016,349.51
11/21/2016,296.78
11/22/2016,252.79
11/23/2016,240.44
11/24/2016,242.71
11/25/2016,213.87
11/26/2016,202.73
11/27/2016,216
11/28/2016,220.53
11/29/2016,230.69
11/30/2016,272.21
12/1/2016,488.08
12/2/2016,245.8
12/3/2016,230.52
12/4/2016,254
12/5/2016,313.37
12/6/2016,358.86
12/7/2016,374.01
12/8/2016,347.99
12/9/2016,355.97
12/10/2016,385
12/11/2016,382
12/12/2016,385
12/13/2016,462.02
12/14/2016,614.53
12/15/2016,403.13
12/16/2016,350.83
12/17/2016,356.21
12/18/2016,361.58
12/19/2016,338.62
12/20/2016,438.13
12/21/2016,464.37
12/22/2016,487
12/23/2016,510.13
12/24/2016,446.87
12/25/2016,379.73
12/26/2016,413.13
12/27/2016,300.14
12/28/2016,317.92
12/29/2016,232.27
12/30/2016,274.87
12/31/2016,259.78
1/1/2017,262
1/2/2017,248.25
1/3/2017,223.18
1/4/2017,273.71
1/5/2017,332.57
1/6/2017,259.19
1/7/2017,236.66
1/8/2017,237.2
1/9/2017,322.6
1/10/2017,424.91
1/11/2017,580.73
1/12/2017,720.23
1/13/2017,689.13
1/14/2017,697.85
1/15/2017,728.03
1/16/2017,700.31
1/17/2017,780.47
1/18/2017,1227.2
1/19/2017,1646.2
1/20/2017,1896.94
1/21/2017,1986.3
1/22/2017,2036.98
1/23/2017,2164.53
1/24/2017,2028.47
1/25/2017,1019.49
1/26/2017,825.21
1/27/2017,690.81
1/28/2017,704.31
1/29/2017,626.62
1/30/2017,614.78
1/31/2017,675.63
2/1/2017,1641.79
2/2/2017,1064.35
2/3/2017,1101.3
2/4/2017,1039.48
2/5/2017,894.68
2/6/2017,934.39
2/7/2017,868.33
2/8/2017,790.94
2/9/2017,831.03
2/10/2017,583.52
2/11/2017,551.26
2/12/2017,515
2/13/2017,490.26
2/14/2017,448.26
2/15/2017,401.74
2/16/2017,333.74
2/17/2017,277.22
2/18/2017,269.6
2/19/2017,308.4
2/20/2017,277.45
2/21/2017,257.86
2/22/2017,251.86
2/23/2017,241.86
2/24/2017,318.97
2/25/2017,298.03
2/26/2017,504.24
2/27/2017,556.91
2/28/2017,442.55
3/1/2017,427.82
3/2/2017,434.33
3/3/2017,501.89
3/4/2017,594.87
3/5/2017,825.23
3/6/2017,783.22
3/7/2017,850.83
3/8/2017,1010.95
3/9/2017,855.47
3/10/2017,897.95
3/11/2017,573.38
3/12/2017,545.38
3/13/2017,525.14
3/14/2017,471.81
3/15/2017,459.56
3/16/2017,473
3/17/2017,477.79
3/18/2017,429.6
3/19/2017,530.55
3/20/2017,459.42
3/21/2017,401.17
3/22/2017,378.87
3/23/2017,351.1
3/24/2017,311.14
3/25/2017,316.63
3/26/2017,298.56
3/27/2017,286.44
3/28/2017,256.61
3/29/2017,275.95
3/30/2017,268.09
3/31/2017,232.42
4/1/2017,211.88
4/2/2017,200.72
4/3/2017,187
4/4/2017,199.46
4/5/2017,241.18
4/6/2017,292.51
4/7/2017,320
4/8/2017,483.13
4/9/2017,1022.28
4/10/2017,447
4/11/2017,398.81
4/12/2017,398.7
4/13/2017,359.63
4/14/2017,273.67
4/15/2017,249.33
4/16/2017,260.67
4/17/2017,236.33
4/18/2017,212.37
4/19/2017,237.84
4/20/2017,260.02
4/21/2017,314.05
4/22/2017,376.95
4/23/2017,442.95
4/24/2017,491.97
4/25/2017,362
4/26/2017,385
4/27/2017,501.02
4/28/2017,604.5
4/29/2017,459.42
4/30/2017,387.13
5/1/2017,314.65
5/2/2017,258.75
5/3/2017,267.05
5/4/2017,311.63
5/5/2017,412.58
5/6/2017,611.26
5/7/2017,920.65
5/8/2017,660.12
5/9/2017,476.71
5/10/2017,409.82
5/11/2017,361.7
5/12/2017,312.52
5/13/2017,280.4
5/14/2017,256.53
5/15/2017,246.52
5/16/2017,234.33
5/17/2017,280.98
5/18/2017,350.4
5/19/2017,829.24
5/20/2017,1220.55
5/21/2017,1634.76
5/22/2017,1355.22
5/23/2017,1298.55
5/24/2017,1498.3
5/25/2017,1114.25
5/26/2017,657.17
5/27/2017,579
5/28/2017,519
5/29/2017,477.58
5/30/2017,426.42
5/31/2017,413.83
6/1/2017,386.42
6/2/2017,333
6/3/2017,363.53
6/4/2017,376.01
6/5/2017,409.53
6/6/2017,501.4
6/7/2017,750.1
6/8/2017,1067.37
6/9/2017,957.63
6/10/2017,878.45
6/11/2017,667
6/12/2017,580.92
6/13/2017,554.78
6/14/2017,521.75
6/15/2017,605.52
6/16/2017,556.33
6/17/2017,571.42
6/18/2017,526.73
6/19/2017,455.6
6/20/2017,410.65
6/21/2017,373.65
6/22/2017,366
6/23/2017,333.35
6/24/2017,322.65
6/25/2017,322.94
6/26/2017,312.41
6/27/2017,301.76
6/28/2017,302
6/29/2017,336
6/30/2017,302.24
7/1/2017,297.29
7/2/2017,295.64
7/3/2017,291
7/4/2017,253.59
7/5/2017,255.24
7/6/2017,288.47
7/7/2017,231.41
7/8/2017,261
7/9/2017,249.65
7/10/2017,227.52
7/11/2017,215.94
7/12/2017,207.1
7/13/2017,250.75
7/14/2017,227.68
7/15/2017,218
7/16/2017,256.3
7/17/2017,214.73
7/18/2017,198.19
7/19/2017,242.84
7/20/2017,230.23
7/21/2017,209.3
7/22/2017,221.8
7/23/2017,208.9
7/24/2017,224.17
7/25/2017,205.2
7/26/2017,206.94
7/27/2017,217.18
7/28/2017,211.51
7/29/2017,195.52
7/30/2017,225.68
7/31/2017,206.15
8/1/2017,190.39
8/2/2017,192.44
8/3/2017,198.78
8/4/2017,187.59
8/5/2017,182.62
8/6/2017,215
8/7/2017,223.16
8/8/2017,192.53
8/9/2017,212.47
8/10/2017,206.57
8/11/2017,208.15
8/12/2017,197.62
8/13/2017,181
8/14/2017,219.37
8/15/2017,195.43
8/16/2017,200.71
8/17/2017,259.59
8/18/2017,259.64
8/19/2017,340
8/20/2017,316.12
8/21/2017,375.24
8/22/2017,527.76
8/23/2017,498.94
8/24/2017,367.29
8/25/2017,307.42
8/26/2017,270.36
8/27/2017,259.47
8/28/2017,208.46
8/29/2017,182.96
8/30/2017,176.06
8/31/2017,182.29
9/1/2017,192.21
9/2/2017,191.73
9/3/2017,182
9/4/2017,172.86
9/5/2017,163.42
9/6/2017,136.54
9/7/2017,161.81
9/8/2017,164.78
9/9/2017,151.82
9/10/2017,153.43
9/11/2017,149.56
9/12/2017,133.5
9/13/2017,123.01
9/14/2017,157.49
9/15/2017,114.93
9/16/2017,126.41
9/17/2017,141.23
9/18/2017,114.98
9/19/2017,126.11
9/20/2017,128.36
9/21/2017,119.29
9/22/2017,161.78
9/23/2017,132.7
9/24/2017,160.81
9/25/2017,134.13
9/26/2017,130.98
9/27/2017,149.83
9/28/2017,130.57
9/29/2017,130.54
9/30/2017,150.27
10/1/2017,162.29
10/2/2017,333.4
10/3/2017,355.4
10/4/2017,326.8
10/5/2017,245.52
10/6/2017,260.83
10/7/2017,225.83
10/8/2017,238.25
10/9/2017,334.28
10/10/2017,269
10/11/2017,210.47
10/12/2017,211.33
10/13/2017,219.67
10/14/2017,218.87
10/15/2017,213.13
10/16/2017,193.93
10/17/2017,152.54
10/18/2017,147.24
10/19/2017,145.81
10/20/2017,140.63
10/21/2017,174.99
10/22/2017,119.5
10/23/2017,132.49
10/24/2017,143.01
10/25/2017,139.51
10/26/2017,195.25
10/27/2017,212.98
10/28/2017,588.02
10/29/2017,362.44
10/30/2017,416.39
10/31/2017,332.29
11/1/2017,258.15
11/2/2017,253.45
11/3/2017,221.72
11/4/2017,247.75
11/5/2017,319.93
11/6/2017,432.8
11/7/2017,592.37
11/8/2017,370.69
11/9/2017,273.34
11/10/2017,188.79
11/11/2017,225
11/12/2017,340.95
11/13/2017,519.22
11/14/2017,371.83
11/15/2017,290.17
11/16/2017,262.73
11/17/2017,229.72
11/18/2017,246.15
11/19/2017,411.23
11/20/2017,520.09
11/21/2017,742.16
11/22/2017,569.63
11/23/2017,569.49
11/24/2017,621.25
11/25/2017,406.45
11/26/2017,397.06
11/27/2017,368.1
11/28/2017,380.69
11/29/2017,556.21
11/30/2017,367.58
12/1/2017,316.52
12/2/2017,297.39
12/3/2017,290.75
12/4/2017,250.85
12/5/2017,222.7
12/6/2017,184.85
12/7/2017,194.47
12/8/2017,198.64
12/9/2017,286.36
12/10/2017,414.91
12/11/2017,290.85
12/12/2017,202.33
12/13/2017,199.44
12/14/2017,173.68
12/15/2017,144.81
12/16/2017,137.9
12/17/2017,139
12/18/2017,148.49
12/19/2017,139.49
12/20/2017,301.65
12/21/2017,264.48
12/22/2017,339.98
12/23/2017,535.69
12/24/2017,418.32
12/25/2017,432.68
12/26/2017,410.69
12/27/2017,388.18
12/28/2017,462.12
12/29/2017,425.53
12/30/2017,484.78
12/31/2017,821.96
1/1/2018,870.94
1/2/2018,1158.03
1/3/2018,803.08
1/4/2018,688.76
1/5/2018,701.74
1/6/2018,581.06
1/7/2018,500.99
1/8/2018,477.51
1/9/2018,736.82
1/10/2018,725.4
1/11/2018,569.93
1/12/2018,545.07
1/13/2018,717.97
1/14/2018,749.1
1/15/2018,630.87
1/16/2018,551.56
1/17/2018,570.56
1/18/2018,504
1/19/2018,486.89
1/20/2018,473.56
1/21/2018,542.89
1/22/2018,721.49
1/23/2018,714.86
1/24/2018,678.63
1/25/2018,724.36
1/26/2018,661.79
1/27/2018,525.37
1/28/2018,497.93
1/29/2018,436
1/30/2018,489
1/31/2018,703.6
2/1/2018,925.69
2/2/2018,676.38
2/3/2018,528.11
2/4/2018,439.84
2/5/2018,357.05
2/6/2018,311.28
2/7/2018,316.34
2/8/2018,286.51
2/9/2018,293.63
2/10/2018,273.57
2/11/2018,278.43
2/12/2018,307.37
2/13/2018,305.49
2/14/2018,298
2/15/2018,281
2/16/2018,317
2/17/2018,302
2/18/2018,296.83
2/19/2018,289.17
2/20/2018,366.66
2/21/2018,371
2/22/2018,358
2/23/2018,338.94
2/24/2018,310
2/25/2018,299.78
2/26/2018,244
2/27/2018,284
2/28/2018,594.24
3/1/2018,569.93
3/2/2018,326.41
3/3/2018,333.56
3/4/2018,443.62
3/5/2018,501.32
3/6/2018,416.79
3/7/2018,507.53
3/8/2018,506.32
3/9/2018,560.69
3/10/2018,425.31
3/11/2018,339.03
3/12/2018,287
3/13/2018,297
3/14/2018,334.01
3/15/2018,394.13
3/16/2018,425.81
3/17/2018,554.41
3/18/2018,353.73
3/19/2018,295
3/20/2018,286.94
3/21/2018,371
3/22/2018,542.28
3/23/2018,590.61
3/24/2018,502.64
3/25/2018,419.69
3/26/2018,353
3/27/2018,331.21
3/28/2018,386.82
3/29/2018,531.61
3/30/2018,625.73
3/31/2018,523.55
4/1/2018,457
4/2/2018,511.51
4/3/2018,551.63
4/4/2018,466.56
4/5/2018,466.75
4/6/2018,427.98
4/7/2018,338.93
4/8/2018,301.16
4/9/2018,267.84
4/10/2018,238.23
4/11/2018,237.53
4/12/2018,216.76
4/13/2018,205.23
4/14/2018,189.05
4/15/2018,186.28
4/16/2018,202.72
4/17/2018,266.67
4/18/2018,271.67
4/19/2018,216.79
4/20/2018,179.82
4/21/2018,171
4/22/2018,186.98
4/23/2018,182.04
4/24/2018,170.13
4/25/2018,172.96
4/26/2018,157.05
4/27/2018,155
4/28/2018,167
4/29/2018,172.29
4/30/2018,153.4
5/1/2018,139.03
5/2/2018,140.89
5/3/2018,153.12
5/4/2018,151.18
5/5/2018,140.29
5/6/2018,139.8
5/7/2018,138.41
5/8/2018,139.61
5/9/2018,125.84
5/10/2018,136.64
5/11/2018,157.75
5/12/2018,154.87
5/13/2018,136.56
5/14/2018,127.31
5/15/2018,127.54
5/16/2018,124.77
5/17/2018,129.22
5/18/2018,125
5/19/2018,155.45
5/20/2018,169.55
5/21/2018,236.33
5/22/2018,179.45
5/23/2018,146
5/24/2018,163
5/25/2018,135.22
5/26/2018,163.67
5/27/2018,159.33
5/28/2018,133.33
5/29/2018,152.67
5/30/2018,139.45
5/31/2018,162.33
6/1/2018,133.45
6/2/2018,130
6/3/2018,128
6/4/2018,134.56
6/5/2018,111.58
6/6/2018,142.8
6/7/2018,137.91
6/8/2018,141.91
6/9/2018,170.01
6/10/2018,141.99
6/11/2018,146.03
6/12/2018,176
6/13/2018,150.13
6/14/2018,162.01
6/15/2018,222.99
6/16/2018,226.87
6/17/2018,174.99
6/18/2018,148.01
6/19/2018,155.13
6/20/2018,150.01
6/21/2018,150.13
6/22/2018,126.13
6/23/2018,144.13
6/24/2018,143.87
6/25/2018,160.13
6/26/2018,122.13
6/27/2018,127.13
6/28/2018,124.25
6/29/2018,120.25
6/30/2018,120.25
7/1/2018,135.75
7/2/2018,128
7/3/2018,117.25
7/4/2018,124.25
7/5/2018,124.36
7/6/2018,110.61
